product_id,product_name,review_content,rating,trust_score,vader_compound,category
B072NCN9M4,"AMERICAN MICRONIC- Imported Wet & Dry Vacuum Cleaner, 21 Litre Stainless Steel with Blower & HEPA filter, 1600 Watts 100% Copper Motor 28 KPa suction with washable reusable dust bag (Red/Black/Steel)-AMI-VCD21-1600WDx","Purchased from Amazon for full price under no offers, still beat competitors by Rs.163Order was placed on Thursday 01/12/22, late in the evening at 11 pm.Was to be Delivered on Thursday 08/12/22 but arrived early on Monday 05/12/22 at 10 am.Quite satisfied with the Delivery, Packaging, Condition of the item and also Happy with the early arrival.Along with the Vacuum we received a basic Instruction Manual and Warranty Card.The Invoice was missing from the parcel, so it had to be downloaded from Amazon.To Register your Warranty, you require to scan the Bar Code on the Invoice and WhatsApp the details.Without any delay, excitedly we got to assemble the unit which was a fairly easy task, took approximately 10 minutes, which I guess is ok for the first time while getting familiar with all various attachments etc.First impressions, the Vacuum itself looks sturdy built wise, but some attachments could be a little stronger. Especially, the extension pipes could be Stainless Steel same as the Drum and Telescopic in feature / operation. The main Vacuuming head attachment used for floor / hard surfaces could also be Stainless Steel as it gets used the most and gets banged around quite a bit, would extend its life.Its a 2 pin plug, instead of a 3 pin which could have been better with a surge protector fuse.The cord is of decent length, quite impressed with the quality of the cord. Also, the cord, which has no autowind and cannot be inserted within the body of the unit, after use can be rested on top of the Drum in a winding fashion, it kinda works and does keep in place without being a nuisance. Hose, same solution.The 2 side Latches are reasonably strong. Wheels are easy to install / insert and work fine.It would be absolutely fantastic if the various attachments could be stored / latched to the main unit while not in use, storage wise but can understand the limitations in this regard.First demo was for the Vacuum.Noise average (not too loud or unbearable), reasonable with any other domestic Vacuum of similar power.Inside the lid, the dust bag clings on to its inlet, would be better if it could be secured / locked with a clip.In Vacuum (suction) mode the air gets forced out of the Blower outlet, this outlet is directed on the opposite side of the unit and is directed straight onto the floor level. Now imagine, if you had not yet cleaned that part of the room and that dust gets thrown around or blown onto the already cleaned surfaces, it would be an unending job like a dog chasing its tail. If this outlet had a removable or having the ability to rotate something like a flap or adjustable Ac vents like in cars, then it could direct the blown out air upwards while Vacuuming the surfaces and this could have been of great design sense.Suction is at par with as described or claimed in the adverts, nothing too exciting but definitely not disappointing, does the job which is important.Then, follows the demo for the Blower.This feature should technically be equally as strong as the Vacuum, because the force of the air sucked in while Vacuuming is supposedly the same force leaving the Blower outlet. To make things interesting, there are fish gill like 2 vents on either sides of the Lid. These vents are the fixed kind, cannot be closed or opened. One of the vent very faintly can be felt taking-in air, while the other vent blows out air at a significant force. This particular phenomena I am bewildered with, cause as I understand the escaping rate of air through this vent will weaken the force supposed to leave the Blower outlet. So make of it what you will. Still does the job, if you're looking at blowing leaves or scaring the neighbours pet.Finally, the demo for the Wet.Performance is at par with as described or claimed in the adverts and as other customers have described in their video demonstrations, again nothing too exciting but definitely not disappointing, does the job which is important. May need to dry mop even after using the Wet function.In closingDefinitely do purchase it, use it often as required and also helps keeping fit,Do not allow dust to settle on your Vacuum Blower.Also ordered extra:i) American Micronic Replacement Dust Bag for AMI-VCD21-1600WDx & AMI-VCD15-1600WDxii) RODAK 35 MM Mattress and Upholstery Nozzle for Vacuum Cleaner Wet and Dry Cleaning, EU Import,It have the best suction power among the wet and dry vaccum cleaner, even better than some of the dry vaccum cleaners. I bought this for my mother in-law. She likes it for being easy to use. It's simple and easy to connect and remove dust covers and pipes, Extension pipes are little loose though. It's easy to clean those cat hairs now. And don't have to worry about accidentally sucking the water from the floor, because it's Wet and dry vaccum cleaner. Hope the customer care is a good one incase of any needs arise. They send me already opened package, but not used I think. They could have send us a fresh unopened perfectly sealed package. No complaints untill now. I liked the reusable dust cover feature, also it's easy to connect it inside. Easy to handle, don't have too much weight.It would have been better if there was an auto winding of power cables with a switch.,This is a domestic beast.... great suction.Only thing that should had been ther is speed control.Noise level is high, but with such suction is ok. As long as it cleans it all without ne to redo it again and again, I am ok...Rest how it will stay with time will be something to see.,It is very easy to clean as the suction power is great 👍 very powerful machine indeed,I have been looking for a good vaccum cleaner for a long time now. I recently came across this and read the reviews etc. Some were good and some were bad. But at the same time I couldn't find any better specifications in any of the other vaccum cleaners  in this price segment so I finally bought it.It came in a big Amazon box well packed and secured. Unboxed and it was as perfect as in the stock images. Here is the list for you to understand the pros and cons as easily as possible :⁠-⁠)• Very Good quality steel and plastic build💯• The suction(28kpa) is really really good even with the thick carpets etc💯• The wheels are really good too,They move effortlessly 💯• You get a lot of accessories to clean different surfaces and they're good quality 💯• The blower function is really powerful 💯• The bag inside,which collects the dust & dirt is big and can be cleaned & Washed easily 💯• The noise level isn't much. Its okay, Not loud💯• The cord length is 5mtrs which is enough 💯• The overheating protection is Good💯• All the Accessories can be stored at the given spaces on the base💯Cons:• The only thing that I think should be improved is the locking mechanism of the extension pipes. They are good and fit well but if its a carpet or some other mats you're cleaning you need to tighten it well otherwise it loosens and needs to be tightened again and again.🌟 Overall a 10/10 Product which fits all your needs,Wet and Dry [Cleaning of course;⁠) ].Better than any other Vaccum cleaners in under 10k price range . Go for it 💯( P.s I've tried some other Vaccum cleaners too which are in the 6k and above range but this is the all in one OP Vaccum Cleaner💯),Good suction with great built quality,Good durability,good suction power and quality product,Vacuum cleaner is very fine, suction power is quite good, drying power is also just OK,noise level is high as I expected. Cost is high as compared to other brands. Overall I rated it four star.",4.2,80.82399731534088,0.9998,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums"
B09LHXNZLR,"Skadioo WiFi Adapter for pc | Car Accessories, WiFi Dongle for pc | USB WiFi Adapter for pc | Wi-Fi Receiver 2.4GHz, 802.11b/g/n UNano Size WiFi Dongle Compatible Adapter,WiFi dongle for pc","Good,Its working is very nice with pc. Easy to install. Connected very well. Plug and play.Link for driver:https://drive.google.com/drive/folders/1ie6u725zeiTcpN5R3zDHBkP70nIRceFv?usp=sharing,Quality is good but internet connection is slow,Easy to use. But we can't use continues ly.... Signal breaks suddenly,I have been  using this WiFi module for more than a couple of months and it works like a charm. It 's easy to use and it connects quick to the computer and don't need to install the drivers.👍👍👍👍👍👍👍👍👍👍👍👍,good to work,Working fine till date,Good Product",3.7,58.12095881340561,0.9552,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
B09LV13JFB,LOHAYA Voice Assistant Remote Compatible for Airtel Xstream Set-Top Box Remote Control with Netflix Function (Black) (Non - Voice),"Ok,Very disappointedRange is not good it doesn't catch from a little far and it doesn't support Bluetooth and untill and unless it is not connected to set top box via bluetooth voice search will not work.Also yo can't return you can only replace it.😡,Very bad product never connect only,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/819V40EpT2L._SY88.jpg,No bluetooth",3.3,20.322850286298863,-0.7479,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls"
B08M66K48D,"POPIO Tempered Glass Screen Protector Compatible for iPhone 12 / iPhone 12 Pro with Case Friendly Edge to Edge Coverage and Easy Installation kit, Pack of 1","Used guiding stickers but in those places bubbles formed. Shop guy fixed them,Too good in this price range. Go for it.Suggestions to company - for perfect  position, at speaker cut, give transparent background of film instead of black colour.will be much easier to decide position of it,Nice,The tempered glass looks solid and protective.It was difficult to align the glass however. The film protecting the tempered glass is black opaque. You can’t see whether the ear opening aligns with the phone’s ear piece. You can only guess. It can be made transparent for better accuracy.,https://m.media-amazon.com/images/I/71LMZQ86RwL._SY88.jpg,Best Tempered glass for iPhone 14. Reasonably priced unlike other sellers, superb quality, feels like actual glass. Really nice product. Keep up the good work POPIO.,Very easy to put it on. you may go for cheap tempered glasses but the touch feels different and smooth with popio glasses,I am using this for 3 weeks now. It is very responsive. I am very happy to use it. The only challenge was applying it as its not very easy even with the help of guiding strips. They tend to slip. But after applying there was no air bubble and screen works smoothly.",4.3,64.69803817122775,0.9944,"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors"
B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)","Packing is good .. they have sent a box for itAlso the quality looks good and decently fast chargingGood product for the price paid,Nice product,nice charging cable for low cost.,Highly recommended,Quite nice cable in this price, charging my iPad smoothly  Go for it,I like the product and resnable precise.,Worth buyinh,Nice",3.9,50.88571768237613,0.8402,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
B07TMCXRFV,"ESR Screen Protector Compatible with iPad Pro 11 Inch (2022/2021/2020/2018) and iPad Air 5/4 (2022/2020, 10.9 Inch), Tempered-Glass Film with Alignment Frame, Scratch Resistant, HD Clarity, 2 Pack","It is good and fragile, simply affixed on screen. There was a little difficulty faces as guide frame supplied is not 100% according to glass but some how i fixed it successfully. And thanks to seller for supply a pair of screen guard. Packaging was also good.,It's really of good quality, I have read problems like the apple pencil doesn't work after applying this protector but I honestly didn't feel any lag. I rated 4 because one of the protectors created a bubble at a specific area and didn't get out even after trying so hard and following all the instructions properly, and I had to use another one which got applied properly without creating any bubbles,👍🏻✅,I ended up wasting one tempered glass because of air bubbles that wouldn’t go away. I skipped wiping with micro fibre cloth which may have led to the problem. However the other glass worked fine, I had to take off my iPad cover to enable the application, the previous one wouldn’t align with the cover in place. Adhesion of the first one gave up as soon as I tried to lift and reapply, again might be attributable to the fact that I didn’t get rid of the dust particles like I should have.The one that I successfully applied, works just fine.,Good product. Decent alignment.,great product, theres no such anti glare thing, also not really good for using apple pencil, i mean the surface is not paper like thats why, one more thing it gets fingerprints really fast…application is very easy but take care there is no dust on the ipad because if a bubble’s formed you CANNOT correct it,Good,",4.5,62.75658247224519,0.9823,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)","Product is good , and also it's  strudiness .But no fast charging in this cable , it's normally charging . I love it because it's supported in micro usb , or type c . Over all good .Pros / advantage :- -1) 1.5 meter wire  2) more durable3) supported dual mode type c , micro usbCons / disadvantages:- normal charging , not fast charging,Though it is braided, but it is not strong like boAt. But it's okay to use it. Supports turbocharging.,Working well after months of use. Only thing is that if there is slight pressure, the C -type adapter will come off from the micro usb head. So better to see that the cable is not stretched when using the C type adapter. Otherwise working fine and very convenient for me since i usually have a phone with C type charging and a small Tab with micro USB charging when i travel. I need to carry only one cable now with my powerbank. Will recommend.,Best cable,good,Both Micro USB & Type C mobile connector's are getting charge.Good Decision to purchase this product.,Cable is a good fibre braided with good length.The connector also has a tight fit, sometimes you have to apply a bit force to remove(ig it'll wear off after usage).In comparison, boat has a better quality i would say if u get that in offer as it has metal braided cable and better quality microusb pin.,I like the product bcuz it's help me to charge both phone Type C & Micro Cabel",4.1,65.77777559623034,0.9924,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),"good quality tool from d linkWiFi signal is good,Nice product,Overall good and a better experience,It funcions properly and useful to me.,I you want to buy it for CP Plus Orange DVR, it works.,Nice,Its not plug an play u need to install the driver and will support till 2.4 Ghz not above that. Im using in Jio wifi so its not supporting 5G connectivity as its 3.0,The first reason I bought this item was to have a surveillance camera in my house. To view it on my mobile Used,etc....",4.1,52.07746058725281,0.8718,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
B07WNK1FFN,"AGARO Esteem Multi Kettle 1.2 Litre, 600W with 3 Heating Modes & Rapid Boil Technology","1. I have used it mainly for boiling water (knob turned maximum to right) so cannot comment much about lower temperature settings.2. It takes about 10 min for water to boil.3. Suggest Mfr to release in other colour like light blue etc (as I see some other kettles) .  It may add to the looks and give a warm feeling in the room.4. The stainless steel looks shiny but the material is not very thick but it's ok for the price.  There may be formation of scaling or white brownish spots on the base of kettle in a C shape due to the C shaped half coil at base (funny design, maybe a product created by modifying a higher wattage full circular coil kettle).  The scales are more when tap water is used due to higher presence of salts maybe.  They seem to get cleaned by usual scrubbing.5. Given wide based cylinder shape, it is very easy to clean.To be aware: The kettle does not auto-shut off when water boils.  Similarly, the kettle temperature will be kept warm at knob setting unless the knob is at the leftmost when it shuts off.  Else the water will keep drying out until it dries out completely and then the kettle is supposed to auto shut off to prevent dry heating (I haven't tested this though).  These are mentioned in the manual.  So this can be thought of as a warmer + boiler.  So you CANNOT leave the kettle unattended thinking that it will auto shut off like other kettles when the water has started to boil.  I assume this is designed this way to allow a bit of cooking for those who want to use it in that manner.Accessories: Cannot fathom what the use is of the plastic bowl provided.  Given that plastics can leach chemicals when heated, I would not suggest to use it inside the kettle in any way, e.g. steaming.  A steel rack is given, too.  That could be used alongwith some steel plate with holes for steam cooking but there is none provided with the product itself.Final verdict: If you are ok with a somewhat slower heating kettle but with more versatility and easy to clean at a reasonable price, this will do the job.  If a similar product was available with higher wattage at a higher price, I would have bought that instead.,I wanted to give 1 star rating because Agaro forces its customers to give rating and review to get the warranty. It is a bad practice. You cannot force customer to give rating. As I mentioned, it may result in the product having negative rating on Amazon despite being a good product.In my opinion the product itself is good. It heats water very fast. It is good for making Maggie, pasta, and boiling eggs. But need to be careful while making Maggie or pasta because once they get dry they start to stick to the bottom.The kettle is very easy to clean.The cord length should have been longer.One issue that I noticed that only one half of the base of kettle generates heat.,Everything is good & it has been very useful for me. There is only one drawback; I guess the heating is not uniform across the base of the kettle since whenever I boil milk or make tea/coffee, a portion of one side bunrs the milk. Even while boiling water I can see the similar symptom.,Agaro Multicooker is good and gives a variety of cooking/ boiling options like Milk, Tea, Eggs, Maggi, etc.Only negative point is that Agaro team promises extended warranty of 6 months by giving asking to give a positive review on Amazon but fails to deliver on their promise and does not give any extended warranty.,Delivery has safe got item safely.Delivery on time, instantaneous water boiling sufficient space big volume best for hostel students.Hope for warranty and company response.,I liked how fast it does the work but i hate about the dirt it gets inside after cooking something, it sticks their,Overall gorgeous product. The most beautiful thing is that the cord length is big. That is a better option for your kitchen and aslo that is the best option for hostel users.😅,Liked the design and operation. However cord length could be longer. Temperature control is good but knob need some modifications. Overall happy with this product.",4.2,70.09568000609967,0.9962,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles
B07J9KXQCC,"Libra Room Heater for Home, Room Heaters Home for Winter, Electric Heater with 2000 Watts Power as per IS Specification for Small to Medium Rooms - FH12 (Grey)","For the product like room heater package should be enough so that it does not get damage ...... and they have not used proper amazon packaging....price is quite high according to size and capacity of the product....After using 3-4 days I have found some defects and some scratch marks....attached in the pics,The heater is very compact, light weight and effective. It looks so cute in a room and doesn’t disturb your aesthetics at all. Loved it. Ordered another one for my grandmother.,Product is useful,Good Product,I have purchased 2 of them & recommend to my friends who have bought it. But now I'm looking for the same which is not available here.,Control knobs should have marked scales on the body. Otherwise performance of the heater is good without noise. Value for money and sufficient for 110 sqft room.,i received the faulty product.,Very good room heater,main features of the heater is it's fan.hot Air circulation in average size room is very good.",3.6,60.218263400306725,0.937,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters"
